ID,상호명,주소,전화,웹사이트,이메일,업종,상태,등록일,최종발송일
1052,예공종합건설,대한민국 인천광역시,032-432-5777,,,종합건설 설계팀,new,2026-05-24 11:48:39,
1053,에쓰엠에이(SMA)건축사사무소,"402호 도형빌딩, 16 학익소로37번길 미추홀구 인천광역시 대한민국",032-876-3711,http://sma-arch.co.kr/,,건축 설계 사무소,new,2026-05-24 11:48:39,
1054,(주)성준종합건설,대한민국 서울특별시 번지 A 동 2004호 KR 서울특별시 서초구 양재동 275-1,02-972-3775,,,종합건설회사,new,2026-05-24 11:48:39,
1055,아벤종합건설 서울사무소,대한민국 서울특별시 강남구 영동대로 520,02-6327-1115,https://aben.co.kr/,,종합건설회사,new,2026-05-24 11:48:39,
1056,진건종합건설(주),대한민국 서울특별시 강남구 역삼2동 723-1,02-565-9216,http://www.jingun.co.kr/,,종합건설회사,new,2026-05-24 11:48:39,
1057,새한전기기술사학원,대한민국 서울특별시 영등포구 영등포로 400 신성빌딩 4층,02-6959-3588,http://www.speei.co.kr/,,전기 설비 설계,new,2026-05-24 11:48:39,
1058,유창공조산업,대한민국 경기도 안양시 동안구 엘에스로91번길 16-39 안양IT밸리 706호 KR,031-343-0101,http://yuchang.co.kr/,,HVAC 설계 전문,new,2026-05-24 11:48:39,
1059,한국건설트레이딩,대한민국 서울특별시 송파구 충민로 10 4-A19 가든파이브툴,010-8939-0284,https://kconstrade.com/,,종합건설 설계팀,new,2026-05-24 11:48:39,
1060,해담건축사사무소,대한민국 경기도 성남시 수정구 위례광장로 322 아이플렉스빌딩,050-71394-0796,https://hdhaedam.com/,,건축 설계 사무소,new,2026-05-24 11:48:39,
1061,(주)도시환경건축종합건축사사무소,대한민국 성남시 중원구 성남동 2761번지 4층 성남시 경기도 KR,031-755-6644,,,건축 설계 사무소,new,2026-05-24 11:48:39,
1062,제일탑기술학원,대한민국 경기도 수원시 팔달구 매산로2가 59-4,031-255-9880,http://m.jeilm.com/,,전기 설비 설계,new,2026-05-24 11:48:39,
1063,제일전기직업전문학교,대한민국 경기도 수원시 팔달구 매산로 45 3층,031-253-8111,http://www.jeil119.net/,,전기 설비 설계,new,2026-05-24 11:48:39,
1064,선명건설(주),대한민국 경기도 수원시 팔달구 우만2동 95-1,031-212-9518,,,종합건설 설계팀,new,2026-05-24 11:48:39,
1065,스캣건축사사무소,대한민국 경기도 수원시 권선구 덕영대로 1099 302호,031-237-6677,http://www.스캣.com/,,건축 설계 사무소,new,2026-05-24 11:48:39,
1066,경기설비,대한민국 경기도 화성시 우정읍 운평리 1062-1번지,,,,전기 설비 설계,new,2026-05-24 11:48:39,
1067,가람전기,대한민국 경기도 화성시 팔탄면 지월리 499-13,031-366-1833,,,전기 설비 설계,new,2026-05-24 11:48:39,
1068,(주)화성건설,대한민국 경기도 화성시 정남면 괘랑리 117-3번지 KR,031-8015-4525,,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1069,(주)제이와이제이건축사사무소,대한민국 경기도 화성시 남양읍 남양리 산139-65번지 603호,031-355-4431,,,건축 설계 사무소,new,2026-05-24 11:48:39,
1070,남경설비(주),대한민국 부산광역시,051-866-6777,http://www.namkyungeq.co.kr/,,배관 설계 전문,new,2026-05-24 11:48:39,
1071,디케이플랜트(주),대한민국 부산광역시 강서구 미음 산단1로 15번길 67,051-271-1342,http://www.dkp.kr/,,플랜트 배관 설계,new,2026-05-24 11:48:39,
1072,수정119 안전센터,대한민국 부산광역시 동구 중앙대로 383-1,051-464-0119,,,건축사사무소 BIM,new,2026-05-24 11:48:39,
1073,(주)경남종합건설,대한민국 김해시,055-313-2999,http://gncon.allthru.kr/,,종합건설 설계팀,new,2026-05-24 11:48:39,
1074,고도종합건축사사무소,대한민국 부산광역시 동구 초량동 1151-1,051-462-4644,,,건축 설계 사무소,new,2026-05-24 11:48:39,
1075,(주)금해종합건설,대한민국 부산광역시 부산진구 양정제2동,051-507-2700,,,종합건설회사,new,2026-05-24 11:48:39,
1076,동우에이스,대한민국 대구광역시 동구 신천동 동대구로 432 국제오피스텔건물 301호,053-751-8703,http://dongwooace.com/,,건축사사무소 BIM,new,2026-05-24 11:48:39,
1077,(주)합동건축사사무소,대한민국 대구광역시 중구 수동 51-1,053-253-8668,,,건축 설계 사무소,new,2026-05-24 11:48:39,
1078,(주)송학건설,대한민국 광주광역시,062-710-2000,,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1079,공사현장,대한민국 광주광역시 광산구 우산동 891-6,,,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1080,전일빌딩 245 (5.18 광주민주화운동 사적지 28호),대한민국 광주광역시 동구 금남로 245,062-225-0245,http://www.518.org/sub.php?PID=0201&action=Read&idx=1772&searchText=%EC%A0%84%EC%9D%BC%EB%B9%8C%EB%94%A9&searchType=all,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1081,브이산업(주),대한민국 광주광역시 광산구 무진대로212번길 13-9,,,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1082,상무지구 광주형 평생주택,대한민국 광주광역시 서구 치평동 1166,,,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1083,CMB광주방송,대한민국 광주광역시 서구 상무중앙로104번길 13,1544-3434,http://www.cmb.co.kr/,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1084,광주 전남,대한민국 광주광역시 서구 쌍촌동 1368-12,,,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1085,에이엔시건축사사무소,대한민국 광주광역시 서구 쌍촌동 970-12,062-372-0938,,,건축 설계 사무소,new,2026-05-24 11:48:39,
1086,대한건설협회,대한민국 대전광역시,042-486-0881,,,건설사 BIM 담당,new,2026-05-24 11:48:39,
1087,예원건축사사무소,대한민국 대전광역시 서구 둔산동 1173,042-482-7916,,,건축 설계 사무소,new,2026-05-24 11:48:39,
1088,원유택건축설계사무소,대한민국 대전광역시 유성구 어은동 102-6,042-864-1058,,,건축 설계 사무소,new,2026-05-24 11:48:39,
1089,(주)TM종합건설,대한민국 대전광역시 탄방동 675번지 서구 대전광역시 KR,,,,종합건설회사,new,2026-05-24 11:48:39,
1090,진건축사사무소,대한민국 울산광역시 울주군 상북면 도동신리로 40-1 2층,052-257-0322,,,건축사사무소 BIM,new,2026-05-24 11:48:39,
1091,(주)조국종합건설,대한민국 울산광역시 옥교동 82-1번지 102동 4506호 중구 울산광역시 KR,052-248-8081,,,종합건설회사,new,2026-05-24 11:48:39,
1092,한빛종합건설(주),대한민국 울산광역시 남구 삼산동 1548-6,052-258-9026,,,종합건설회사,new,2026-05-24 11:48:39,
1093,한솔종합건설(주),대한민국 울산광역시 남구 달동 128-12,052-227-6041,,,종합건설회사,new,2026-05-24 11:48:39,
1094,옥산종합건설(주),대한민국 울산광역시 남구 삼산동 1481-6,052-257-5661,,,종합건설회사,new,2026-05-24 11:48:39,
1095,e편한세상세종,대한민국 세종특별자치시 조치원읍 섭골길 59,044-865-7250,,,HVAC 설계 전문,new,2026-05-24 11:48:39,
1096,세종스마트그린 일반산업단지,대한민국 세종특별자치시 전의면 왕의물로 92,044-862-2368,http://www.sejongsmartgreen.com/,,플랜트 배관 설계,new,2026-05-24 11:48:39,
1097,세종벤처밸리(주),"일원 574번지, 심중리 전동면 특별자치시, 세종특별자치시 세종, 대한민국",044-866-5005,,,플랜트 배관 설계,new,2026-05-24 11:48:39,
1098,건축공간연구원,대한민국 세종시 가름로 143 8층,,http://www.auri.re.kr/,,건축사사무소 BIM,new,2026-05-24 11:48:39,
1,대한기계설비건설협회 본회,대한민국 서울특별시 강남구 학동로 429,02-6240-1100,https://www.kmcca.or.kr/main.do,,기계설비 설계 사무소,new,2026-05-24 11:29:48,
2,동아기계설비,대한민국 서울특별시 영등포구 대림동 651-5,02-844-6805,,,기계설비 전문건설,new,2026-05-24 11:29:48,
3,부흥기계설비(주),대한민국 서울특별시 관악구 봉천동 968-11,02-876-8098,,,기계설비 전문건설,new,2026-05-24 11:29:48,
4,(주)한일기계설비,대한민국 인천광역시 동구 송림4동 295,032-589-1948,,,기계설비 전문건설,new,2026-05-24 11:29:48,
5,"한국배관공사 : 상하수도설비공사업, 기계설비공사업 전문건설면허 보유, 여성기업인증",대한민국 서울특별시 서대문구 영천동 320 2층 202호,02-430-8804,https://한국배관공사.kr/,boxerj@hanmail.net,기계설비 전문건설,new,2026-05-24 11:29:48,
6,서강동소방설비,대한민국 서울특별시 마포구 상수동,070-4573-8536,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
7,합정동소방설비,대한민국 서울특별시 마포구 합정동,070-4573-8549,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
8,"(주)한신소방콘설탄트-소방점검, 소방보수공사, 완비증명, 소방안전관리대행",대한민국 서울특별시 강남구 748-1,02-553-6119,http://www.sobangnara.com/,fireeng@chol.com,소방설비 설계 사무소,new,2026-05-24 11:29:48,
9,(주)종로소방,대한민국 서울특별시 영등포구 영신로10길 14-1,02-861-4119,http://www.jrsobang.com/,jongro5119@naver.com,소방설비 설계 사무소,new,2026-05-24 11:29:48,
10,서울특별시 소방재난본부,대한민국 서울특별시 중구 퇴계로26길 52,02-3706-1319,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
11,케이제이종합엔지니어링,대한민국 경기도 의정부시 신곡동 761-1,031-871-1907,http://www.engkj.co.kr/,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
12,사직파출소,대한민국 서울특별시 종로구 사직로9가길 6 1층,02-3701-4309,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
13,한국소방공사,대한민국 서울특별시 종로구 관수동 129-1,02-2275-2369,http://www.nofire.co.kr/,nofire114@naver.com,소방설비 설계 사무소,new,2026-05-24 11:29:48,
14,(주)정우엔지니어링건축사사무소,대한민국 서울특별시 송파구 송파동 48-13,,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
15,(사)한국소방시설관리협회,"대한민국 서울특별시 서초구 방배동 873 29번지 402, 502호",02-532-1191,http://www.kfma.kr/,abc119@kfma.kr,소방설비 설계 사무소,new,2026-05-24 11:29:48,
16,우원엠앤이,대한민국 서울특별시,02-860-9700,http://www.300302.com/,woowon@300302.com,소방설비 설계 사무소,new,2026-05-24 11:29:48,
17,한국소방서울센터,대한민국 서울특별시,,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
18,전기설계협인,대한민국 서울특별시,02-561-1501,http://www.hyeobin.co.kr/,,전기 설비 설계,new,2026-05-24 11:29:48,
19,한국조명전기설비학회,대한민국 서울특별시 강남구 테헤란로7길 22,02-564-6534,http://www.kiiee.or.kr/,kiiee@kiiee.or.kr,전기 설비 설계,new,2026-05-24 11:29:48,
20,삼영설비 전기공사 인테리어,대한민국 서울특별시,,,,전기 설비 설계,new,2026-05-24 11:29:48,
21,대일소방건설(주),대한민국 서울특별시 구로구 개봉동 403-1,02-2618-9998,,,전기 설비 설계,new,2026-05-24 11:29:48,
22,오성설비전기,대한민국 서울특별시,,,,전기 설비 설계,new,2026-05-24 11:29:48,
23,자유전설,대한민국 서울특별시,02-355-1700,http://jayujs.com/,,전기 설비 설계,new,2026-05-24 11:29:48,
24,태우전기건설공사,대한민국 서울특별시,02-2666-0033,,,전기 설비 설계,new,2026-05-24 11:29:48,
25,세운전기조명철물공사,대한민국 서울특별시 성동구 독서당로 308-1,02-2297-2265,,,전기 설비 설계,new,2026-05-24 11:29:48,
26,플랜트설계전문기업 (주)템스TEMS,대한민국 서울특별시 금천구 가산디지털2로 184,02-6901-1301,http://tems.kr/,yhlee@tems.kr,배관 설계 전문,new,2026-05-24 11:29:48,
27,삼우종합건축사사무소,대한민국 서울특별시 강동구 천호대로 1077,02-2184-5114,http://www.samoo.com/,,배관 설계 전문,new,2026-05-24 11:29:48,
28,서울플랜트엔지니어링(주),대한민국 서울특별시 영등포구 양평동4가 선유로49길 23 아이에스비즈타워 2차 412호,02-717-4227,http://www.spec1988.com/,spec1988@spec1988.com,배관 설계 전문,new,2026-05-24 11:29:48,
29,인천플랜트배관용접학원,대한민국 인천광역시 남동구 하촌로 58 2층,032-223-3300,http://인천플랜트배관용접학원.com/,ippwa@naver.com,배관 설계 전문,new,2026-05-24 11:29:48,
30,한서기술,"1707호, 1709호, 84 가산디지털1로 금천구 서울특별시 대한민국",02-6959-5072,http://hanseoeng.net/,hsp001@hanseoeng.com,배관 설계 전문,new,2026-05-24 11:29:48,
31,스페이스플랜트엔지니어링(주),대한민국 서울특별시 구로구 구로동 222-8,02-2081-1986,,,배관 설계 전문,new,2026-05-24 11:29:48,
32,선우플랜트엔지니어링(주),대한민국 서울특별시 구로구 디지털로 242,02-890-5890,http://www.swpe.co.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
33,"서은플랜트기술 주식회사 SEOEUN PLANT TECH Co.,Ltd",대한민국 경기도 성남시 분당구 정자일로 1,031-703-0480,http://seplant.com/,septech@septech.co.kr,배관 설계 전문,new,2026-05-24 11:29:48,
34,인테리어 하다건설,대한민국 서울특별시 동작구 사당로16가길 106,02-6052-0479,https://blog.naver.com/nwood1,,배관 설계 전문,new,2026-05-24 11:29:48,
35,우림플랜트(주),대한민국 서울특별시 서초구 양재동 23,02-3462-2651,http://www.woolimplant.co.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
36,한국플랜트산업협회 플랜트교육본부,대한민국 서울특별시 구로구 경인로 661 핀포인트타워 16층,02-3452-7970,https://edu.kopia.or.kr/,edu@kopia.or.kr,배관 설계 전문,new,2026-05-24 11:29:48,
37,뉴타임하우징,대한민국 서울특별시 서초구 방배1동 서초대로 124 선빌딩 5층,02-472-4169,http://www.newtimehousing.com/,newtime100@naver.com,배관 설계 전문,new,2026-05-24 11:29:48,
38,플랜트인사이트(주),대한민국 서울특별시 마포구 마포대로 130,070-4906-8837,http://plantinsight.co.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
39,(주)조양테크,"대한민국 서울특별시 금천구 가산디지털 2로 67, 에이스 하이 엔드 타워 7 차 1301 호",02-826-0033,http://www.chytech.co.kr/,chytech@chytech.co.kr,배관 설계 전문,new,2026-05-24 11:29:48,
40,우리앤드세은기술,대한민국 서울특별시 금천구 가산동 426-5,02-2025-8700,,,배관 설계 전문,new,2026-05-24 11:29:48,
41,세영직업전문학교,대한민국 서울특별시 영등포구 경인로71길 6,02-2633-5119,,,배관 설계 전문,new,2026-05-24 11:29:48,
42,키소,대한민국 서울특별시 구로구 구로동 182-4,02-6446-5000,,,배관 설계 전문,new,2026-05-24 11:29:48,
43,한국플랜트서비스,대한민국 서울특별시 영등포구 여의동 여의공원로 111,02-799-6433,http://www.hps.co.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
44,으뜸방재ENG,대한민국 경기도 부천시 원미구 조마루로385번길 122,1670-1192,http://thebest119.co.kr/,thebest6119@gmail.com,배관 설계 전문,new,2026-05-24 11:29:48,
45,(주)제트공조설계사무소,대한민국 경기도 안산시 상록구 사사동 133-1 제트공조설계사무소 1층,1522-7736,https://zaircon.com/,,HVAC 설계 전문,new,2026-05-24 11:29:48,
46,국제컨트로닉스(주),"2층, 1 당산로38길 영등포구 서울, 대한민국",02-859-5901,http://www.ikjc.co.kr/,kjcontronics@gmail.com,HVAC 설계 전문,new,2026-05-24 11:29:48,
47,한강이엔지,대한민국 서울특별시 중랑구 신내동,02-2207-3221,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
48,Hconcept,대한민국 서울특별시 서초구 사임당로8길 13,02-876-0888,http://www.hconcept.net/,hello@norgianclue.com,HVAC 설계 전문,new,2026-05-24 11:29:48,
49,빔건축사사무소,대한민국 인천광역시,032-428-7380,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
50,ABIM건축연구소,대한민국 서울특별시 종로구 혜화동 53-11,02-6013-0409,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
51,(주)무영종합건축사사무소,대한민국 서울특별시 강남구 736 56 제일비전타워,02-3011-1400,http://www.mooyoung.com/,,건축사사무소 BIM,new,2026-05-24 11:29:48,
52,정림건축종합건축사사무소,대한민국 서울특별시 중구 세종대로12길 12,02-708-8600,https://junglim.com/,,건축사사무소 BIM,new,2026-05-24 11:29:48,
53,(주)무영씨엠건축사사무소,대한민국 경기도 과천시 7길 과천대로 26 갈현동) 스마트케이 B타워 2층,02-2188-3100,http://www.mooyoungcm.com/,,건축사사무소 BIM,new,2026-05-24 11:29:48,
54,(주)건축사사무소보람,대한민국 부천시,032-328-0046,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
55,이머시브건축사사무소,대한민국 서울특별시 용산구 녹사평대로40나길 37 4층,02-797-0275,https://www.immrr.com/,chmun@immrr.com,건축사사무소 BIM,new,2026-05-24 11:29:48,
56,종합건축사사무소아이디엠,대한민국 서울특별시 동작구 동작대로1길 50,02-583-4767,http://idmarch.com/,,건축사사무소 BIM,new,2026-05-24 11:29:48,
57,(주)비엠도시건축사사무소,대한민국 서울특별시 상도동 126-15번지 2층 동작구 서울특별시 KR,02-839-9926,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
58,(주)한얼BIM건축디자인,대한민국 서울특별시 송파구 문정동 법원로 4길 10 힐스테이트 에코 205호,02-451-2252,https://www.hanual.com/,han_ual@naver.com,건축사사무소 BIM,new,2026-05-24 11:29:48,
59,(주)숨비건축사사무소,대한민국 서울특별시 용산구 서빙고동 번지 1층 4-58,02-3476-7771,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
60,(주)아키드림건축사사무소,대한민국 서울특별시 강남구 역삼동 683-16,02-420-5404,http://www.archidream.co.kr/,ksjade@ksodesign.com,건축사사무소 BIM,new,2026-05-24 11:29:48,
61,(주)행림종합건축사사무소,대한민국 경기도 과천시 갈현동 443,02-526-8000,http://haenglim.com/,,건축사사무소 BIM,new,2026-05-24 11:29:48,
62,(주)이가ACM건축사사무소,대한민국 서울특별시 강남구 대치2동 영동대로 316,02-6717-6000,https://www.egaacm.com/,egaacm@egaacm.com,건축사사무소 BIM,new,2026-05-24 11:29:48,
63,무인건축사사무소,대한민국 서울특별시 관악구 신림동 1417-34,02-6274-3564,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
64,(주)범건축종합건축사사무소,대한민국 서울특별시 송파구 송파대로 111,02-538-9966,http://www.baum.co.kr/,baum@baum.co.kr,건축사사무소 BIM,new,2026-05-24 11:29:48,
65,이성범건축사사무소(LSBA),대한민국 서울특별시 성북구 성북로14길 28,02-6231-7477,http://leesungbeom.com/,,건축사사무소 BIM,new,2026-05-24 11:29:48,
66,나우동인건축사사무소,대한민국 서울특별시 서초구 매헌로 54,02-529-1855,http://www.nowarch.com/,nowarch@nowarch.com,건축사사무소 BIM,new,2026-05-24 11:29:48,
67,(주)성림종합건축사사무소,대한민국 서울특별시,02-515-4494,https://tip.daum.net/question/86454480,,건축사사무소 BIM,new,2026-05-24 11:29:48,
68,신흥보림건축사사무소,대한민국 부천시,,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
69,(주)담종합건설,대한민국 서울특별시,,,,건설사 BIM 담당,new,2026-05-24 11:29:48,
70,담주종합건설(주),대한민국 서울특별시,02-842-1215,,,건설사 BIM 담당,new,2026-05-24 11:29:48,
71,동인종합건설(주),대한민국 서울특별시 영등포구 국회대로 638,02-844-0423,http://dong-in.co.kr/,,종합건설 설계팀,new,2026-05-24 11:29:48,
72,(주)시스홈종합건설,대한민국 서울특별시 서초구 양재동 351-3,02-704-0482,,,종합건설 설계팀,new,2026-05-24 11:29:48,
73,(주)씨앤종합건설,대한민국 서울특별시 강남구 논현2동 선릉로133길 16,02-523-8070,http://www.cnace.co.kr/,chszoo@naver.com,종합건설 설계팀,new,2026-05-24 11:29:48,
74,(주)다한다종합건설,대한민국 서울특별시 동작구 사당제1동 번지 1층 1033-11 101호,02-581-0404,,,종합건설 설계팀,new,2026-05-24 11:29:48,
75,종합건축설계사무소,대한민국 서울특별시 서대문구 충정로2가 157,02-765-0837,,,종합건설 설계팀,new,2026-05-24 11:29:48,
76,호성종합건설(주),대한민국 부천시,032-343-8511,,,종합건설 설계팀,new,2026-05-24 11:29:48,
77,(주)강후종합건설,대한민국 안양시,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
78,백석종합건설,대한민국 서울특별시 종로구 종로 267-1,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
79,GS건설,대한민국 서울특별시 종로구 종로 33,02-2154-1114,http://www.gsenc.com/,,종합건설 설계팀,new,2026-05-24 11:29:48,
80,(주)이지오종합건설,대한민국 서울특별시 관악구 봉천동 1718-7,02-872-8534,,,종합건설 설계팀,new,2026-05-24 11:29:48,
